PlayerID,FirstName,LastName,TeamID,Team,Jersey,Position,Class,Height,Weight
60023710,Kyle,Duke,196,NCAT,0,G,Sophomore,76,185
60023711,Jaylen,Jackson,,,24,F,Freshman,78,0
60023712,Chase,McDuffie,196,NCAT,20,G,Freshman,77,210
60023713,Duncan,Powell,196,NCAT,31,F,Freshman,80,225
60023714,Basheer,Jihad,184,BALLST,11,F,Sophomore,81,220
60023715,Jaylin,Sellers,184,BALLST,12,G,Sophomore,76,180
60023716,Payton,Sparks,184,BALLST,5,C,Sophomore,81,240
60023717,Patrick,Baldwin Jr.,,,23,G,Freshman,81,0
60023718,Kyle,Ross,,,13,F,Freshman,78,0
60023719,Jasin,Sinani,90,CAMP,13,G,Sophomore,75,195
60023720,Christian,Cevis,,,13,G,Freshman,73,0
60023721,TJ,Long,170,FAIR,33,G,Sophomore,76,195
60023722,Makai,Willis,170,FAIR,11,F,Sophomore,81,240
60023723,Chase,Courbat,206,NIOWA,20,F,Freshman,81,235
60023724,Michael,Duax,206,NIOWA,15,G,Freshman,78,215
60023725,Landon,Wolf,206,NIOWA,3,G,Freshman,77,195
60023726,Brian,Gordon,303,LAMAR,1,PG,Freshman,74,193
60023727,Trey,Harris,303,LAMAR,21,G,Freshman,77,180
60023728,Avontez,Ledet,,,2,G,Freshman,74,165
60023729,Deiman,Reyes,,,15,F,Freshman,80,225
60023730,Jamond,Vincent,297,NO,13,G,Freshman,76,215
60023731,Darrius,Washington,297,NO,22,F,Sophomore,80,230
60023732,Jonathan,Lucas,,,23,F,Freshman,80,0
60023733,Johnathan,Massie,299,MCNST,5,G,Sophomore,78,188
60023734,Shaun,Walker,307,ALCST,34,F,Freshman,80,275
60023735,Leo,Debruhl,118,UCDV,10,G,Sophomore,74,190
60023736,Sione,Lose,118,UCDV,22,G,Freshman,76,170
60023738,Dean,Gabrelcik,80,NCASHE,15,G,Freshman,76,213
60023739,Reece,Clark,,,24,G,Freshman,76,0
60023740,RJ,Noord,130,ELON,11,G,Sophomore,75,170
60023741,Sam,Sherry,130,ELON,4,F,Sophomore,82,220
60023742,To,Randriasalama,131,NEAST,55,G,Sophomore,75,178
60023743,Darius,DeAveiro,148,VALP,4,G,Sophomore,72,170
60023744,Cam,Palesse,148,VALP,1,G,Freshman,77,195
60023745,Preston,Ruedinger,148,VALP,2,G,Sophomore,74,185
60023746,Trey,Woodyard,14,NHAMP,33,F,Sophomore,78,190
60023747,Keyondre,Young,,,5,G,Freshman,80,0
60023748,Abdou,Samb,50,RI,1,F,Freshman,80,210
60023749,D.J,Hughes,64,BUTL,0,F,Sophomore,78,230
60023750,Jayden,Taylor,64,BUTL,13,G,Sophomore,76,195
60023751,Pierce,Thomas,64,BUTL,14,G,Freshman,77,210
60023752,Wooga,Poplar,23,MIA,55,G,Sophomore,77,192
60023753,Jakai,Robinson,23,MIA,13,G,Freshman,77,208
60023754,Nate,Santos,28,PITT,5,F,Sophomore,79,210
