PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
71882,40377,1,1,Half,33,50
71883,37888,2,2,Half,28,32
71884,37300,2,2,Half,30,32
71885,37271,2,2,Half,41,45
71886,38777,2,2,Half,40,52
71887,40360,1,1,Half,34,39
71888,41996,1,1,Half,43,28
71889,37883,2,2,Half,31,39
71890,41130,2,2,Half,37,42
71891,37291,2,2,Half,35,31
71892,40358,2,2,Half,29,30
71893,36642,1,1,Half,22,23
71894,40360,2,2,Half,31,39
71895,41997,2,2,Half,39,37
71896,40377,2,2,Half,41,35
71897,41999,1,1,Half,36,34
71898,40359,1,1,Half,37,26
71899,42000,1,1,Half,48,30
71900,40353,1,1,Half,35,32
71901,41996,2,2,Half,28,37
71902,37291,3,OT,Overtime,9,12
71903,36642,2,2,Half,20,14
71904,40359,2,2,Half,46,25
71905,41999,2,2,Half,33,22
71906,42000,2,2,Half,29,37
71907,42001,1,1,Half,32,42
71908,40353,2,2,Half,38,28
71909,42001,2,2,Half,44,37
71910,42002,1,1,Half,33,39
71911,42002,2,2,Half,29,30
71912,36647,1,1,Half,28,40
71913,37301,1,1,Half,25,42
71914,37303,1,1,Half,34,33
71915,40383,1,1,Half,33,51
71916,37302,1,1,Half,31,35
71917,40380,1,1,Half,16,27
71918,37301,2,2,Half,45,25
71919,38295,1,1,Half,25,32
71920,37305,1,1,Half,36,31
71921,37304,1,1,Half,33,33
71922,40383,2,2,Half,35,34
71923,36647,2,2,Half,32,40
71924,37891,1,1,Half,19,25
71925,42003,1,1,Half,29,33
71926,37303,2,2,Half,26,30
71927,37306,1,1,Half,28,37
71928,40380,2,2,Half,34,38
71929,37305,2,2,Half,33,35
71930,37302,2,2,Half,31,43
71931,38295,2,2,Half,46,50
71932,37304,2,2,Half,43,28
71933,42004,1,1,Half,33,46
71934,38296,1,1,Half,35,30
71935,37891,2,2,Half,37,28
71936,42003,2,2,Half,35,42
71937,42005,1,1,Half,48,27
71938,40381,1,1,Half,30,28
71939,37306,2,2,Half,31,53
71940,36648,1,1,Half,38,30
71941,40379,1,1,Half,41,39
71942,40378,1,1,Half,30,20
71943,40381,2,2,Half,41,29
71944,38296,2,2,Half,33,45
71945,42005,2,2,Half,48,44
71946,42004,2,2,Half,50,35
71947,36648,2,2,Half,42,32
71948,40379,2,2,Half,33,46
71949,40378,2,2,Half,29,34
71950,42818,1,1,Half,20,51
71951,42818,2,2,Half,33,52
71952,40382,1,1,Half,34,38
71953,40382,2,2,Half,45,37
71954,42007,1,1,Half,13,48
71955,42007,2,2,Half,43,36
71956,42760,1,1,Half,35,43
71957,42841,1,1,Half,29,26
71958,42760,2,2,Half,33,33
71959,42768,1,1,Half,24,39
71960,42631,1,1,Half,45,23
71961,42755,1,1,Half,39,17
71962,42755,2,2,Half,34,32
71963,42841,2,2,Half,27,39
71964,42631,2,2,Half,45,33
71965,42777,1,1,Half,22,22
71966,42010,1,1,Half,33,35
71967,42833,1,1,Half,37,33
71968,38778,1,1,Half,23,35
71969,42730,1,1,Half,37,29
71970,42831,1,1,Half,29,30
71971,42806,1,1,Half,23,32
71972,42865,1,1,Half,26,50
71973,42655,1,1,Half,36,38
71974,42729,1,1,Half,31,29
71975,42869,1,1,Half,23,60
71976,42009,1,1,Half,28,27
71977,42846,1,1,Half,40,36
71978,42768,2,2,Half,33,48
71979,42632,1,1,Half,32,41
71980,42801,1,1,Half,40,31
71981,41142,1,1,Half,32,35
71982,41143,1,1,Half,39,33
71983,42009,2,2,Half,24,38
71984,42865,2,2,Half,35,54
71985,41141,1,1,Half,27,35
71986,42833,2,2,Half,34,44
71987,42806,2,2,Half,41,39
71988,42869,2,2,Half,21,51
71989,42618,1,1,Half,24,39
71990,42812,1,1,Half,25,27
71991,42011,1,1,Half,50,41
71992,42730,2,2,Half,32,27
71993,42729,2,2,Half,38,33
71994,42831,2,2,Half,31,35
71995,42655,2,2,Half,38,30
71996,38778,2,2,Half,29,29
71997,42846,2,2,Half,35,36
71998,41145,1,1,Half,43,33
71999,42599,1,1,Half,22,34
72000,42777,2,2,Half,32,48
72001,42769,1,1,Half,33,37
72002,42010,2,2,Half,29,47
72003,42632,2,2,Half,22,26
72004,42801,2,2,Half,24,43
72005,41142,2,2,Half,38,32
72006,42008,1,1,Half,38,49
72007,41143,2,2,Half,25,29
72008,41144,1,1,Half,16,44
72009,41141,2,2,Half,37,32
72010,42812,2,2,Half,40,43
72011,41146,1,1,Half,39,30
72012,42778,1,1,Half,52,22
72013,40384,1,1,Half,44,35
72014,42618,2,2,Half,29,40
72015,42599,2,2,Half,48,42
72016,42011,2,2,Half,31,42
72017,42619,1,1,Half,46,36
72018,41145,2,2,Half,32,30
72019,42769,2,2,Half,35,41
72020,38297,1,1,Half,30,36
72021,42731,1,1,Half,34,32
72022,42866,1,1,Half,23,42
72023,42012,1,1,Half,26,29
72024,41144,2,2,Half,32,28
72025,42008,2,2,Half,34,51
72026,41146,2,2,Half,26,46
72027,42754,1,1,Half,42,42
72028,42778,2,2,Half,37,41
72029,42731,2,2,Half,36,38
72030,40384,2,2,Half,48,49
72031,42866,2,2,Half,32,38
72032,42619,2,2,Half,38,27
72033,38297,2,2,Half,45,39
72034,42012,2,2,Half,40,44
72035,42731,3,OT,Overtime,4,8
72036,42754,2,2,Half,42,37
72037,42800,1,1,Half,24,31
72038,38297,3,OT,Overtime,11,11
72039,38297,4,OT2,Overtime,5,8
72040,42800,2,2,Half,32,47
72041,37316,1,1,Half,42,36
72042,37307,1,1,Half,26,39
72043,38779,1,1,Half,36,36
72044,42871,1,1,Half,34,35
72045,42013,1,1,Half,22,35
72046,36655,1,1,Half,20,34
72047,42650,1,1,Half,21,29
72048,37311,1,1,Half,30,47
72049,42014,1,1,Half,37,25
72050,42693,1,1,Half,28,46
72051,37310,1,1,Half,31,24
72052,37308,1,1,Half,22,41
72053,42805,1,1,Half,35,34
72054,37893,1,1,Half,29,41
